year,rank,Country,state,gdp,gdp_percent
2020,1,United States,America,20936600,0.2700064949911037
2020,2,China,Asia,14722730,0.1898700320221624
2020,3,Germany,Europe,3806060,0.0490844243172353
2020,4,United Kingdom,Europe,2707743,0.0349201115084805
2020,5,India,Asia,2622983,0.0338270131682137
2020,6,France,Europe,2603004,0.0335693519188246
2020,7,Italy,Europe,1886445,0.0243283281381425
2020,8,Canada,America,1643407,0.0211940251869238
2020,9,South Korea,Asia,1630525,0.0210278814001334
2020,10,Russia,Europe,1483497,0.0191317614712515
2020,11,Brazil,America,1444733,0.018631839145412
2020,12,Australia,Oceania,1330900,0.0171638133199654
2020,13,Spain,Europe,1281199,0.0165228392361232
2020,14,Mexico,America,1076163,0.0138786185454249
2020,15,Indonesia,Asia,1058423,0.0136498433750735
2020,16,Netherlands,Europe,912242,0.0117646301447217
2020,17,Switzerland,Europe,747968,0.0096460929576252
2020,18,Turkey,Europe,720101,0.0092867038772937
2020,19,Saudi Arabia,Asia,700117,0.0090289910031518
2020,20,Poland,Europe,594164,0.0076625777650507
2020,21,Sweden,Europe,537609,0.0069332248557753
2020,22,Belgium,Europe,515332,0.006645927322454
2020,23,Thailand,Asia,501794,0.0064713419979157
2020,24,Nigeria,Africa,432293,0.0055750278142091
2020,25,Austria,Europe,428965,0.0055321037597018
2020,26,Ireland,Europe,418621,0.0053987089563313
2020,27,Israel,Asia,401953,0.0051837518026984
2020,28,Argentina,America,383066,0.0049401799710995
2020,29,Egypt,Africa,363069,0.0046822814748367
2020,30,Norway,Europe,362008,0.0046686075825029
2020,31,Philippines,Asia,361489,0.0046619065915497
2020,32,Denmark,Europe,355184,0.0045805906223623
2020,33,Hong Kong,Asia,346585,0.0044697056388347
2020,34,Singapore,Asia,339998,0.0043847519333568
2020,35,Malaysia,Asia,336664,0.0043417549448936
2020,36,Bangladesh,Asia,324239,0.0041815138875041
2020,37,South Africa,Africa,301923,0.0038937240809864
2020,38,Columbia,America,271346,0.0034993945762301
2020,39,Finland,Europe,271233,0.0034979371139759
2020,40,Vietnam,Asia,271158,0.0034969641932118
2020,41,Pakistan,Asia,263686,0.0034006038166194
2020,42,Chile,America,252940,0.0032620124120258
2020,43,Romania,Europe,248715,0.0032075319905865
2020,44,Czech,Europe,243530,0.0031406620129137
2020,45,Portugal,Europe,231255,0.0029823615375706
2020,46,New Zealand,Oceania,212482,0.0027402502670986
2020,47,Peru,America,202014,0.0026052554046017
2020,48,Iran,Asia,191718,0.0024724730141893
2020,49,Greece,Europe,189410,0.0024427060269746
2020,50,Kazakhstan,Asia,169835,0.0021902633768077
2020,51,Iraq,Asia,167224,0.0021565909895781
2020,52,Ukraine,Europe,155582,0.0020064457866775
2020,53,Hungary,Europe,155012,0.0019991066967614
2020,54,Qatar,Asia,146373,0.0018876904410925
2020,55,Algeria,Africa,145163,0.0018720898541221
2020,56,Morocco,Africa,112870,0.0014556228256196
2020,57,Ethiopia,Africa,107645,0.0013882322735133
2020,58,Slovakia,Europe,104574,0.0013486286548489
2020,59,Puerto Rico,America,103138,0.0013301114260357
2020,60,Kenya,Africa,98842,0.0012747167968649
2020,61,Ecuador,America,98808,0.0012742663305955
2020,62,Sri Lanka,Asia,80706,0.0010408235458579
2020,63,Dominica,America,78844,0.0010168117900934
2020,64,Guatemala,America,77604,0.0010008193654793
2020,65,Myanmar,Asia,76185,0.0009825187982109
2020,66,Luxembourg,Europe,73263,0.0009448406626062
2020,67,Garner,Africa,72354,0.0009331107120856
2020,68,Bulgaria,Europe,69105,0.0008912061237759
2020,69,Tanzania,Africa,62409,0.0008048602650755
2020,70,Angola,Africa,62306,0.0008035340653558
