Country,Official language
Afghanistan,Pashto
Albania,Albanian
Algeria,Arabic
Andorra,Catalan
Angola,Portuguese
Antigua and Barbuda,English
Argentina,Spanish
Armenia,Armenian
Australia,English
Austria,German
Azerbaijan,Azerbaijani language
The Bahamas,English
Bahrain,Arabic
Bangladesh,Bengali
Barbados,English
Belarus,Russian
Belgium,French
Belize,English
Benin,French
Bhutan,Dzongkha
Bolivia,Spanish
Bosnia and Herzegovina,Bosnian
Botswana,English
Brazil,Portuguese
Brunei,Malay
Bulgaria,Bulgarian
Burkina Faso,French
Burundi,Kirundi
Ivory Coast,French
Cape Verde,Portuguese
Cambodia,Khmer language
Cameroon,French
Canada,French
Central African Republic,French
Chad,French
Chile,Spanish
China,Standard Chinese
Colombia,Spanish
Comoros,French
Republic of the Congo,French
Costa Rica,Spanish
Croatia,Croatian
Cuba,Spanish
Cyprus,Greek
Czech Republic,Czech
Democratic Republic of the Congo,French
Denmark,Danish
Djibouti,French
Dominica,English
Dominican Republic,Spanish
Ecuador,Spanish
Egypt,Modern Standard Arabic
El Salvador,Spanish
Equatorial Guinea,Spanish
Eritrea,Tigrinya
Estonia,Estonian
Eswatini,English
Ethiopia,Amharic
Fiji,Fiji Hindi
Finland,Swedish
France,French
Gabon,French
The Gambia,English
Georgia,Georgian
Germany,German
Ghana,English
Greece,Greek
Grenada,English
Guatemala,Spanish
Guinea,French
Guinea-Bissau,Portuguese
Guyana,English
Haiti,French
Vatican City,Italian
Honduras,Spanish
Hungary,Hungarian
Iceland,Icelandic
India,Hindi
Indonesia,Indonesian
Iran,Persian
Iraq,Arabic
Republic of Ireland,Irish
Israel,Hebrew
Italy,Italian
Jamaica,Jamaican English
Japan, Japanese
Jordan,Arabic
Kazakhstan,Russian
Kenya,Swahili
Kiribati,English
Kuwait,Modern Standard Arabic
Kyrgyzstan,Russian
Laos,Lao
Latvia,Latvian
Lebanon,Arabic
Lesotho,English
Liberia,English
Libya,Arabic
Liechtenstein,German
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Madagascar,French
Malawi,English
Malaysia,Malaysian language
Maldives,Divehi
Mali,French
Malta,Maltese
Marshall Islands,Marshallese
Mauritania,Arabic
Mauritius,French
Mexico,Spanish
Federated States of Micronesia,English
Moldova,Swedish
Monaco,French
Mongolia,Danish
Montenegro,Montenegrin language
Morocco,Arabic
Mozambique,Portuguese
Myanmar,Burmese
Namibia,English
Nauru,English
Nepal,Nepali
Netherlands,Dutch
New Zealand,English
Nicaragua,Spanish
Niger,French
Nigeria,English
North Korea,Korean
North Macedonia,Macedonian
Norway,Norwegian
Oman,Arabic
Pakistan,Urdu
Palau,English
Palestinian National Authority,Arabic
Panama,Spanish
Papua New Guinea,Tok Pisin
Paraguay,Spanish
Peru,Spanish
Philippines,English
Poland,Polish
Portugal,Portuguese
Qatar,Arabic
Romania,Romanian
Russia,Russian
Rwanda,Swahili
Saint Kitts and Nevis,English
Saint Lucia,English
Saint Vincent and the Grenadines,English
Samoa,Samoan
San Marino,Italian
Saudi Arabia,Arabic
Senegal,French
Serbia,Serbian
Seychelles,French
Sierra Leone,English
Singapore,Malay
Slovakia,Slovak
Slovenia,Slovene language
Solomon Islands,English
Somalia,Arabic
South Africa,Afrikaans
South Korea,Korean
South Sudan,English
Spain,Spanish
Sri Lanka,Tamil
Sudan,Arabic
Suriname,Dutch
Sweden,Swedish
Switzerland,German
Syria,Arabic
Tajikistan,Persian
Tanzania,Swahili
Thailand,Thai
East Timor,Portuguese
Togo,French
Tonga,Tongan Language
Trinidad and Tobago,English
Tunisia,Arabic
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan Language
Uganda,Swahili
Ukraine,Ukrainian
United Arab Emirates,Arabic
United Kingdom,English
United States,American
Uruguay,Spanish
Uzbekistan,Uzbek
Vanuatu,French
Venezuela,Spanish
Vietnam,Vietnamese
Yemen,Arabic
Zambia,English
Zimbabwe,Shona
